"Tool","Class","Registered","Header","Source","DeclMutates","DeclDryRun","DeclSave","DeclBatch","HasDryRunImpl","HasSaveImpl","HasOldResult","HasLoadObject","HasMutationTokens","HasAliases","Aliases"
"edit-physics-constraint","UEditPhysicsConstraintTool","True","Source\UEBridgeMCPEditor\Public\Tools\Physics\EditPhysicsConstraintTool.h","Source\UEBridgeMCPEditor\Private\Tools\Physics\EditPhysicsConstraintTool.cpp","True","True","True","False","True","True","False","False","True","False",""
"edit-physics-simulation","UEditPhysicsSimulationTool","True","Source\UEBridgeMCPEditor\Public\Tools\Physics\EditPhysicsSimulationTool.h","Source\UEBridgeMCPEditor\Private\Tools\Physics\EditPhysicsSimulationTool.cpp","True","True","True","False","True","True","False","False","True","True","set_physics_simulation"
"edit-replication-settings","UEditReplicationSettingsTool","True","Source\UEBridgeMCPEditor\Public\Tools\Gameplay\EditReplicationSettingsTool.h","Source\UEBridgeMCPEditor\Private\Tools\Gameplay\EditReplicationSettingsTool.cpp","True","True","True","True","True","True","False","False","True","True","set_replication_settings"
"edit-sequencer-tracks","UEditSequencerTracksTool","True","Source\UEBridgeMCPEditor\Public\Tools\Sequencer\EditSequencerTracksTool.h","Source\UEBridgeMCPEditor\Private\Tools\Sequencer\EditSequencerTracksTool.cpp","True","True","True","True","True","True","False","False","True","True","set_sequence_range, add_sequence_track, add_actor_to_sequence, add_keyframe, play_sequence, add_audio_track, add_camera_cut_track, add_sub_sequence, add_fade_track"
"edit-sound-cue-routing","UEditSoundCueRoutingTool","True","Source\UEBridgeMCPEditor\Public\Tools\Audio\EditSoundCueRoutingTool.h","Source\UEBridgeMCPEditor\Private\Tools\Audio\EditSoundCueRoutingTool.cpp","True","True","True","False","True","True","False","False","True","False",""
"edit-spline-actors","UEditSplineActorsTool","True","Source\UEBridgeMCPEditor\Public\Tools\World\EditSplineActorsTool.h","Source\UEBridgeMCPEditor\Private\Tools\World\EditSplineActorsTool.cpp","True","True","True","True","True","True","False","False","True","True","create_spline_actor, add_spline_point, set_spline_point, remove_spline_point, get_spline_info, set_spline_closed, set_spline_type"
"edit-statetree-bindings","UEditStateTreeBindingsTool","True","Source\UEBridgeMCPEditor\Public\Tools\StateTree\EditStateTreeBindingsTool.h","Source\UEBridgeMCPEditor\Private\Tools\StateTree\EditStateTreeBindingsTool.cpp","True","True","True","True","True","True","False","False","True","True","set_state_tree_evaluator"
"edit-static-mesh-settings","UEditStaticMeshSettingsTool","True","Source\UEBridgeMCPEditor\Public\Tools\StaticMesh\EditStaticMeshSettingsTool.h","Source\UEBridgeMCPEditor\Private\Tools\StaticMesh\EditStaticMeshSettingsTool.cpp","True","True","True","True","True","True","False","False","True","True","configure_mesh_lod, enable_nanite"
"edit-static-mesh-slots","UEditStaticMeshSlotsTool","True","Source\UEBridgeMCPEditor\Public\Tools\StaticMesh\StaticMeshAdvancedTools.h","Source\UEBridgeMCPEditor\Private\Tools\StaticMesh\StaticMeshAdvancedTools.cpp","True","True","True","True","True","True","False","False","True","True","set_mesh_material_slots"
"edit-viewport-camera","UEditViewportCameraTool","True","Source\UEBridgeMCPEditor\Public\Tools\Editor\EditorInteractionTools.h","Source\UEBridgeMCPEditor\Private\Tools\Editor\EditorInteractionTools.cpp","True","True","False","False","True","False","False","False","False","True","set_viewport_camera"
"edit-widget-animation","UEditWidgetAnimationTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\EditWidgetAnimationTool.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\EditWidgetAnimationTool.cpp","True","True","True","True","True","True","False","False","True","False",""
"edit-widget-blueprint","UEditWidgetBlueprintTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\EditWidgetBlueprintTool.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\EditWidgetBlueprintTool.cpp","True","True","True","True","True","True","False","False","True","True","set_widget_properties, set_widget_image, bind_widget_event"
"edit-widget-component","UEditWidgetComponentTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\EditWidgetComponentTool.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\EditWidgetComponentTool.cpp","True","True","True","True","True","True","False","False","True","True","spawn_widget_component, set_widget_component_property"
"edit-widget-layout-batch","UEditWidgetLayoutBatchTool","True","Source\UEBridgeMCPEditor\Public\Tools\Widget\EditWidgetLayoutBatchTool.h","Source\UEBridgeMCPEditor\Private\Tools\Widget\EditWidgetLayoutBatchTool.cpp","True","True","True","True","True","True","False","False","False","True","remove_widget, move_widget, set_widget_slot, batch_add_widgets, batch_set_widget_properties"
"edit-worldpartition-cells","UEditWorldPartitionCellsTool","True","Source\UEBridgeMCPEditor\Public\Tools\World\WorldPartitionEditTools.h","Source\UEBridgeMCPEditor\Private\Tools\World\WorldPartitionEditTools.cpp","True","True","False","True","True","False","False","False","False","True","load_world_partition_region"
"find-references","UFindReferencesTool","True","Source\UEBridgeMCPEditor\Public\Tools\References\FindReferencesTool.h","Source\UEBridgeMCPEditor\Private\Tools\References\FindReferencesTool.cpp","False","False","False","False","False","False","True","False","False","True","get_asset_references"
"generate-blueprint-pattern","UGenerateBlueprintPatternTool","True","Source\UEBridgeMCPEditor\Public\Tools\Workflow\GenerateBlueprintPatternTool.h","Source\UEBridgeMCPEditor\Private\Tools\Workflow\GenerateBlueprintPatternTool.cpp","True","True","True","False","True","True","False","False","False","False",""
"generate-external-asset","UGenerateExternalAssetTool","True","Source\UEBridgeMCPExternalAI\Public\Tools\ExternalAI\GenerateExternalAssetTool.h","Source\UEBridgeMCPExternalAI\Private\Tools\ExternalAI\GenerateExternalAssetTool.cpp","False","False","False","False","False","False","False","False","False","True","generate_ui_image, remove_background, generate_3d_model, image_to_3d_model"
